field_code,tpb_var
BENEFICIARY_NAME,$ND001
BENEFICIARY_ADDR,$ND002
GUARANTEE_AMOUNT,$ND005
CURRENCY,$ND006
AMOUNT_TEXT,$ND007
VALIDITY,$ND008
ISSUE_DATE,$ND012
GUARANTEE_NUMBER,$ND013
JOINT_VENTURE_INFO,$ND014
PROJECT_NAME,$ND033
BID_PACKAGE_NAME,$ND034
BID_NOTICE_NO,$ND035
ISSUING_BRANCH,$TPB001
ISSUING_BRANCH_ADDR,$TPB002
CONTRACTOR_NAME,$KH001
